[RUN] method=lora dataset=pets classes=37 trainable=161,701 (0.741%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.5647  test_acc=50.48  best=50.48  (44s)
  epoch 2/20  loss=1.4234  test_acc=90.38  best=90.38  (6s)
  epoch 3/20  loss=0.9389  (no eval)  (6s)
  epoch 4/20  loss=0.8596  test_acc=92.37  best=92.37  (6s)
  epoch 5/20  loss=0.8189  (no eval)  (6s)
  epoch 6/20  loss=0.7985  test_acc=92.70  best=92.70  (6s)
  epoch 7/20  loss=0.7792  (no eval)  (6s)
  epoch 8/20  loss=0.7655  test_acc=93.40  best=93.40  (6s)
  epoch 9/20  loss=0.7551  (no eval)  (6s)
  epoch 10/20  loss=0.7472  test_acc=93.68  best=93.68  (6s)
  epoch 11/20  loss=0.7419  (no eval)  (6s)
  epoch 12/20  loss=0.7374  test_acc=93.70  best=93.70  (6s)
  epoch 13/20  loss=0.7306  (no eval)  (6s)
  epoch 14/20  loss=0.7271  test_acc=93.79  best=93.79  (6s)
  epoch 15/20  loss=0.7260  (no eval)  (6s)
  epoch 16/20  loss=0.7233  test_acc=93.81  best=93.81  (6s)
  epoch 17/20  loss=0.7226  (no eval)  (6s)
  epoch 18/20  loss=0.7201  test_acc=93.68  best=93.81  (6s)
  epoch 19/20  loss=0.7225  test_acc=93.73  best=93.81  (6s)
  epoch 20/20  loss=0.7198  test_acc=93.73  best=93.81  (6s)
[DONE] lora/pets  best_acc=93.81  trainable%=0.741  mem=3507MB  time=243s
