[RUN] method=lora_ssf dataset=dtd classes=47 trainable=202,415 (0.926%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.9079  test_acc=29.36  best=29.36  (46s)
  epoch 2/20  loss=2.1821  test_acc=70.21  best=70.21  (7s)
  epoch 3/20  loss=1.3814  (no eval)  (7s)
  epoch 4/20  loss=1.1942  test_acc=77.29  best=77.29  (8s)
  epoch 5/20  loss=1.0750  (no eval)  (7s)
  epoch 6/20  loss=0.9903  test_acc=78.88  best=78.88  (7s)
  epoch 7/20  loss=0.9349  (no eval)  (8s)
  epoch 8/20  loss=0.8956  test_acc=78.51  best=78.88  (8s)
  epoch 9/20  loss=0.8592  (no eval)  (9s)
  epoch 10/20  loss=0.8306  test_acc=79.26  best=79.26  (8s)
  epoch 11/20  loss=0.8149  (no eval)  (8s)
  epoch 12/20  loss=0.8069  test_acc=78.88  best=79.26  (8s)
  epoch 13/20  loss=0.7949  (no eval)  (8s)
  epoch 14/20  loss=0.7885  test_acc=79.52  best=79.52  (8s)
  epoch 15/20  loss=0.7844  (no eval)  (8s)
  epoch 16/20  loss=0.7792  test_acc=79.52  best=79.52  (8s)
  epoch 17/20  loss=0.7779  (no eval)  (8s)
  epoch 18/20  loss=0.7763  test_acc=79.31  best=79.52  (8s)
  epoch 19/20  loss=0.7735  test_acc=79.26  best=79.52  (8s)
  epoch 20/20  loss=0.7741  test_acc=79.26  best=79.52  (8s)
[DONE] lora_ssf/dtd  best_acc=79.52  trainable%=0.926  mem=4839MB  time=263s
