[RUN] method=lora_ssf dataset=flowers102 classes=102 trainable=223,590 (1.021%) lr=0.001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=4.9078  test_acc=8.75  best=8.75  (43s)
  epoch 2/30  loss=3.7322  (no eval)  (4s)
  epoch 3/30  loss=1.4995  test_acc=98.89  best=98.89  (4s)
  epoch 4/30  loss=0.9009  (no eval)  (4s)
  epoch 5/30  loss=0.8516  (no eval)  (4s)
  epoch 6/30  loss=0.8321  test_acc=99.48  best=99.48  (4s)
  epoch 7/30  loss=0.8221  (no eval)  (5s)
  epoch 8/30  loss=0.8158  (no eval)  (4s)
  epoch 9/30  loss=0.8116  test_acc=99.58  best=99.58  (4s)
  epoch 10/30  loss=0.8089  (no eval)  (5s)
  epoch 11/30  loss=0.8072  (no eval)  (4s)
  epoch 12/30  loss=0.8056  test_acc=99.51  best=99.58  (5s)
  epoch 13/30  loss=0.8025  (no eval)  (5s)
  epoch 14/30  loss=0.8011  (no eval)  (5s)
  epoch 15/30  loss=0.8002  test_acc=99.53  best=99.58  (5s)
  epoch 16/30  loss=0.7992  (no eval)  (5s)
  epoch 17/30  loss=0.7999  (no eval)  (4s)
  epoch 18/30  loss=0.7979  test_acc=99.56  best=99.58  (4s)
  epoch 19/30  loss=0.7969  (no eval)  (4s)
  epoch 20/30  loss=0.7968  (no eval)  (5s)
  epoch 21/30  loss=0.7976  test_acc=99.56  best=99.58  (5s)
  epoch 22/30  loss=0.7962  (no eval)  (5s)
  epoch 23/30  loss=0.7971  (no eval)  (4s)
  epoch 24/30  loss=0.7955  test_acc=99.54  best=99.58  (5s)
  epoch 25/30  loss=0.7952  (no eval)  (5s)
  epoch 26/30  loss=0.7951  (no eval)  (5s)
  epoch 27/30  loss=0.7950  test_acc=99.54  best=99.58  (5s)
  epoch 28/30  loss=0.7946  test_acc=99.53  best=99.58  (5s)
  epoch 29/30  loss=0.7946  test_acc=99.54  best=99.58  (5s)
  epoch 30/30  loss=0.7951  test_acc=99.54  best=99.58  (4s)
[DONE] lora_ssf/flowers102  best_acc=99.58  trainable%=1.021  mem=4840MB  time=297s
