[RUN] method=lora_ssf dataset=pets classes=37 trainable=198,565 (0.908%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.5153  test_acc=52.63  best=52.63  (45s)
  epoch 2/20  loss=1.4009  test_acc=90.08  best=90.08  (7s)
  epoch 3/20  loss=0.9421  (no eval)  (7s)
  epoch 4/20  loss=0.8647  test_acc=91.69  best=91.69  (7s)
  epoch 5/20  loss=0.8243  (no eval)  (7s)
  epoch 6/20  loss=0.7974  test_acc=92.91  best=92.91  (8s)
  epoch 7/20  loss=0.7749  (no eval)  (7s)
  epoch 8/20  loss=0.7598  test_acc=93.05  best=93.05  (7s)
  epoch 9/20  loss=0.7528  (no eval)  (7s)
  epoch 10/20  loss=0.7463  test_acc=93.43  best=93.43  (7s)
  epoch 11/20  loss=0.7345  (no eval)  (8s)
  epoch 12/20  loss=0.7325  test_acc=93.35  best=93.43  (8s)
  epoch 13/20  loss=0.7300  (no eval)  (8s)
  epoch 14/20  loss=0.7247  test_acc=93.32  best=93.43  (8s)
  epoch 15/20  loss=0.7199  (no eval)  (8s)
  epoch 16/20  loss=0.7175  test_acc=93.51  best=93.51  (8s)
  epoch 17/20  loss=0.7179  (no eval)  (8s)
  epoch 18/20  loss=0.7178  test_acc=93.35  best=93.51  (8s)
  epoch 19/20  loss=0.7161  test_acc=93.38  best=93.51  (8s)
  epoch 20/20  loss=0.7163  test_acc=93.32  best=93.51  (8s)
[DONE] lora_ssf/pets  best_acc=93.51  trainable%=0.908  mem=4839MB  time=280s
