[RUN] method=ssf dataset=dtd classes=47 trainable=54,959 (0.253%) lr=0.002 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.6209  test_acc=53.19  best=53.19  (44s)
  epoch 2/20  loss=1.6903  test_acc=73.40  best=73.40  (6s)
  epoch 3/20  loss=1.2822  (no eval)  (6s)
  epoch 4/20  loss=1.1346  test_acc=77.02  best=77.02  (6s)
  epoch 5/20  loss=1.0443  (no eval)  (6s)
  epoch 6/20  loss=0.9917  test_acc=77.34  best=77.34  (6s)
  epoch 7/20  loss=0.9388  (no eval)  (6s)
  epoch 8/20  loss=0.9137  test_acc=78.14  best=78.14  (6s)
  epoch 9/20  loss=0.8822  (no eval)  (6s)
  epoch 10/20  loss=0.8637  test_acc=77.77  best=78.14  (6s)
  epoch 11/20  loss=0.8475  (no eval)  (7s)
  epoch 12/20  loss=0.8345  test_acc=78.35  best=78.35  (6s)
  epoch 13/20  loss=0.8265  (no eval)  (6s)
  epoch 14/20  loss=0.8182  test_acc=78.72  best=78.72  (6s)
  epoch 15/20  loss=0.8130  (no eval)  (6s)
  epoch 16/20  loss=0.8080  test_acc=78.62  best=78.72  (7s)
  epoch 17/20  loss=0.8047  (no eval)  (7s)
  epoch 18/20  loss=0.8019  test_acc=78.83  best=78.83  (7s)
  epoch 19/20  loss=0.8030  test_acc=78.88  best=78.88  (7s)
  epoch 20/20  loss=0.8028  test_acc=78.72  best=78.88  (7s)
[DONE] ssf/dtd  best_acc=78.88  trainable%=0.253  mem=4376MB  time=233s
