[RUN] method=ssf dataset=flowers102 classes=102 trainable=76,134 (0.350%) lr=0.002 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=4.7416  test_acc=30.48  best=30.48  (42s)
  epoch 2/30  loss=2.5838  (no eval)  (4s)
  epoch 3/30  loss=0.9529  test_acc=99.11  best=99.11  (4s)
  epoch 4/30  loss=0.8880  (no eval)  (3s)
  epoch 5/30  loss=0.8418  (no eval)  (4s)
  epoch 6/30  loss=0.8256  test_acc=99.45  best=99.45  (4s)
  epoch 7/30  loss=0.8153  (no eval)  (4s)
  epoch 8/30  loss=0.8104  (no eval)  (3s)
  epoch 9/30  loss=0.8061  test_acc=99.48  best=99.48  (4s)
  epoch 10/30  loss=0.8035  (no eval)  (4s)
  epoch 11/30  loss=0.8021  (no eval)  (4s)
  epoch 12/30  loss=0.7999  test_acc=99.50  best=99.50  (4s)
  epoch 13/30  loss=0.7998  (no eval)  (3s)
  epoch 14/30  loss=0.8000  (no eval)  (4s)
  epoch 15/30  loss=0.7978  test_acc=99.54  best=99.54  (4s)
  epoch 16/30  loss=0.7964  (no eval)  (4s)
  epoch 17/30  loss=0.7957  (no eval)  (4s)
  epoch 18/30  loss=0.7962  test_acc=99.54  best=99.54  (4s)
  epoch 19/30  loss=0.7950  (no eval)  (4s)
  epoch 20/30  loss=0.7944  (no eval)  (4s)
  epoch 21/30  loss=0.7949  test_acc=99.53  best=99.54  (4s)
  epoch 22/30  loss=0.7945  (no eval)  (4s)
  epoch 23/30  loss=0.7942  (no eval)  (4s)
  epoch 24/30  loss=0.7936  test_acc=99.51  best=99.54  (4s)
  epoch 25/30  loss=0.7932  (no eval)  (4s)
  epoch 26/30  loss=0.7934  (no eval)  (4s)
  epoch 27/30  loss=0.7930  test_acc=99.54  best=99.54  (4s)
  epoch 28/30  loss=0.7932  test_acc=99.54  best=99.54  (4s)
  epoch 29/30  loss=0.7932  test_acc=99.54  best=99.54  (4s)
  epoch 30/30  loss=0.7927  test_acc=99.56  best=99.56  (4s)
[DONE] ssf/flowers102  best_acc=99.56  trainable%=0.350  mem=4377MB  time=269s
