[RUN] method=ssf dataset=pets classes=37 trainable=51,109 (0.235%) lr=0.002 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.1015  test_acc=78.96  best=78.96  (43s)
  epoch 2/20  loss=1.0872  test_acc=90.24  best=90.24  (6s)
  epoch 3/20  loss=0.9216  (no eval)  (6s)
  epoch 4/20  loss=0.8582  test_acc=91.88  best=91.88  (6s)
  epoch 5/20  loss=0.8108  (no eval)  (6s)
  epoch 6/20  loss=0.7933  test_acc=92.61  best=92.61  (6s)
  epoch 7/20  loss=0.7806  (no eval)  (6s)
  epoch 8/20  loss=0.7667  test_acc=92.40  best=92.61  (6s)
  epoch 9/20  loss=0.7600  (no eval)  (6s)
  epoch 10/20  loss=0.7529  test_acc=93.35  best=93.35  (6s)
  epoch 11/20  loss=0.7447  (no eval)  (6s)
  epoch 12/20  loss=0.7371  test_acc=93.02  best=93.35  (6s)
  epoch 13/20  loss=0.7360  (no eval)  (6s)
  epoch 14/20  loss=0.7297  test_acc=93.65  best=93.65  (6s)
  epoch 15/20  loss=0.7281  (no eval)  (6s)
  epoch 16/20  loss=0.7249  test_acc=93.57  best=93.65  (6s)
  epoch 17/20  loss=0.7257  (no eval)  (6s)
  epoch 18/20  loss=0.7239  test_acc=93.30  best=93.65  (6s)
  epoch 19/20  loss=0.7238  test_acc=93.35  best=93.65  (6s)
  epoch 20/20  loss=0.7231  test_acc=93.46  best=93.65  (7s)
[DONE] ssf/pets  best_acc=93.65  trainable%=0.235  mem=4376MB  time=244s
