[RUN] method=vpt dataset=dtd classes=47 trainable=25,775 (0.119%) lr=0.005 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.1195  test_acc=67.18  best=67.18  (42s)
  epoch 2/20  loss=1.4820  test_acc=75.21  best=75.21  (5s)
  epoch 3/20  loss=1.2534  (no eval)  (5s)
  epoch 4/20  loss=1.1387  test_acc=76.60  best=76.60  (5s)
  epoch 5/20  loss=1.0717  (no eval)  (6s)
  epoch 6/20  loss=1.0215  test_acc=75.69  best=76.60  (5s)
  epoch 7/20  loss=0.9825  (no eval)  (5s)
  epoch 8/20  loss=0.9675  test_acc=75.80  best=76.60  (5s)
  epoch 9/20  loss=0.9502  (no eval)  (5s)
  epoch 10/20  loss=0.9243  test_acc=76.17  best=76.60  (5s)
  epoch 11/20  loss=0.9073  (no eval)  (5s)
  epoch 12/20  loss=0.8928  test_acc=76.44  best=76.60  (5s)
  epoch 13/20  loss=0.8815  (no eval)  (6s)
  epoch 14/20  loss=0.8763  test_acc=76.44  best=76.60  (5s)
  epoch 15/20  loss=0.8678  (no eval)  (6s)
  epoch 16/20  loss=0.8619  test_acc=76.70  best=76.70  (5s)
  epoch 17/20  loss=0.8615  (no eval)  (6s)
  epoch 18/20  loss=0.8543  test_acc=76.70  best=76.70  (6s)
  epoch 19/20  loss=0.8546  test_acc=76.70  best=76.70  (6s)
  epoch 20/20  loss=0.8510  test_acc=76.54  best=76.70  (5s)
[DONE] vpt/dtd  best_acc=76.70  trainable%=0.119  mem=3394MB  time=207s
