[RUN] method=adaptformer dataset=dtd classes=47 trainable=1,225,787 (1.409%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.1006  test_acc=49.15  best=49.15  (52s)
  epoch 2/20  loss=1.6916  test_acc=73.51  best=73.51  (13s)
  epoch 3/20  loss=1.2121  (no eval)  (13s)
  epoch 4/20  loss=1.0317  test_acc=80.16  best=80.16  (13s)
  epoch 5/20  loss=0.9183  (no eval)  (14s)
  epoch 6/20  loss=0.8584  test_acc=80.27  best=80.27  (14s)
  epoch 7/20  loss=0.8242  (no eval)  (14s)
  epoch 8/20  loss=0.7956  test_acc=81.38  best=81.38  (14s)
  epoch 9/20  loss=0.7743  (no eval)  (14s)
  epoch 10/20  loss=0.7567  test_acc=82.50  best=82.50  (14s)
  epoch 11/20  loss=0.7453  (no eval)  (14s)
  epoch 12/20  loss=0.7382  test_acc=83.03  best=83.03  (14s)
  epoch 13/20  loss=0.7342  (no eval)  (14s)
  epoch 14/20  loss=0.7302  test_acc=83.19  best=83.19  (14s)
  epoch 15/20  loss=0.7286  (no eval)  (14s)
  epoch 16/20  loss=0.7264  test_acc=83.51  best=83.51  (14s)
  epoch 17/20  loss=0.7256  (no eval)  (14s)
  epoch 18/20  loss=0.7245  test_acc=83.51  best=83.51  (14s)
  epoch 19/20  loss=0.7246  test_acc=83.46  best=83.51  (14s)
  epoch 20/20  loss=0.7242  test_acc=83.46  best=83.51  (14s)
[DONE] adaptformer/dtd  best_acc=83.51  trainable%=1.409  mem=6829MB  time=398s
