Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[RUN] method=adaptformer dataset=flowers102 classes=102 trainable=1,268,082 (1.456%) lr=0.001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=5.0574  test_acc=56.72  best=56.72  (26s)
  epoch 2/30  loss=1.3215  test_acc=98.94  best=98.94  (6s)
  epoch 3/30  loss=0.8931  test_acc=98.65  best=98.94  (6s)
  epoch 4/30  loss=0.8576  test_acc=99.41  best=99.41  (6s)
  epoch 5/30  loss=0.8275  test_acc=99.61  best=99.61  (6s)
  epoch 6/30  loss=0.8131  test_acc=99.58  best=99.61  (6s)
  epoch 7/30  loss=0.8034  test_acc=99.64  best=99.64  (6s)
  epoch 8/30  loss=0.8015  test_acc=99.67  best=99.67  (6s)
  epoch 9/30  loss=0.7981  test_acc=99.66  best=99.67  (6s)
  epoch 10/30  loss=0.7959  test_acc=99.67  best=99.67  (7s)
  epoch 11/30  loss=0.7939  test_acc=99.67  best=99.67  (6s)
  epoch 12/30  loss=0.7918  test_acc=99.64  best=99.67  (6s)
  epoch 13/30  loss=0.7912  test_acc=99.64  best=99.67  (7s)
  epoch 14/30  loss=0.7894  test_acc=99.69  best=99.69  (6s)
  epoch 15/30  loss=0.7891  test_acc=99.69  best=99.69  (6s)
  epoch 16/30  loss=0.7889  test_acc=99.67  best=99.69  (6s)
  epoch 17/30  loss=0.7877  test_acc=99.69  best=99.69  (6s)
  epoch 18/30  loss=0.7874  test_acc=99.69  best=99.69  (6s)
  epoch 19/30  loss=0.7869  test_acc=99.69  best=99.69  (6s)
  epoch 20/30  loss=0.7865  test_acc=99.71  best=99.71  (6s)
  epoch 21/30  loss=0.7861  test_acc=99.71  best=99.71  (6s)
  epoch 22/30  loss=0.7859  test_acc=99.69  best=99.71  (6s)
  epoch 23/30  loss=0.7857  test_acc=99.71  best=99.71  (6s)
  epoch 24/30  loss=0.7853  test_acc=99.71  best=99.71  (6s)
  epoch 25/30  loss=0.7851  test_acc=99.71  best=99.71  (6s)
  epoch 26/30  loss=0.7852  test_acc=99.71  best=99.71  (6s)
  epoch 27/30  loss=0.7851  test_acc=99.71  best=99.71  (6s)
  epoch 28/30  loss=0.7849  test_acc=99.71  best=99.71  (6s)
  epoch 29/30  loss=0.7850  test_acc=99.71  best=99.71  (6s)
  epoch 30/30  loss=0.7848  test_acc=99.71  best=99.71  (6s)
[DONE] adaptformer/flowers102  best_acc=99.71  trainable%=1.456  mem=3682MB  time=518s
