[RUN] method=adaptformer dataset=pets classes=37 trainable=1,218,097 (1.400%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.4194  test_acc=78.36  best=78.36  (51s)
  epoch 2/20  loss=1.0514  test_acc=91.20  best=91.20  (13s)
  epoch 3/20  loss=0.8601  (no eval)  (13s)
  epoch 4/20  loss=0.7963  test_acc=93.84  best=93.84  (13s)
  epoch 5/20  loss=0.7556  (no eval)  (13s)
  epoch 6/20  loss=0.7384  test_acc=94.28  best=94.28  (13s)
  epoch 7/20  loss=0.7299  (no eval)  (13s)
  epoch 8/20  loss=0.7196  test_acc=94.79  best=94.79  (13s)
  epoch 9/20  loss=0.7095  (no eval)  (14s)
  epoch 10/20  loss=0.7037  test_acc=94.74  best=94.79  (13s)
  epoch 11/20  loss=0.6978  (no eval)  (14s)
  epoch 12/20  loss=0.6940  test_acc=95.09  best=95.09  (13s)
  epoch 13/20  loss=0.6935  (no eval)  (14s)
  epoch 14/20  loss=0.6910  test_acc=95.18  best=95.18  (13s)
  epoch 15/20  loss=0.6890  (no eval)  (13s)
  epoch 16/20  loss=0.6878  test_acc=94.85  best=95.18  (13s)
  epoch 17/20  loss=0.6882  (no eval)  (14s)
  epoch 18/20  loss=0.6876  test_acc=94.96  best=95.18  (13s)
  epoch 19/20  loss=0.6873  test_acc=95.07  best=95.18  (13s)
  epoch 20/20  loss=0.6860  test_acc=95.04  best=95.18  (13s)
[DONE] adaptformer/pets  best_acc=95.18  trainable%=1.400  mem=6830MB  time=426s
