[RUN] method=bitfit dataset=dtd classes=47 trainable=139,055 (0.162%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.2177  test_acc=39.84  best=39.84  (51s)
  epoch 2/20  loss=1.8700  test_acc=72.61  best=72.61  (12s)
  epoch 3/20  loss=1.2820  (no eval)  (13s)
  epoch 4/20  loss=1.0980  test_acc=78.67  best=78.67  (13s)
  epoch 5/20  loss=1.0047  (no eval)  (14s)
  epoch 6/20  loss=0.9455  test_acc=79.68  best=79.68  (14s)
  epoch 7/20  loss=0.8994  (no eval)  (13s)
  epoch 8/20  loss=0.8750  test_acc=79.84  best=79.84  (13s)
  epoch 9/20  loss=0.8497  (no eval)  (13s)
  epoch 10/20  loss=0.8347  test_acc=79.68  best=79.84  (13s)
  epoch 11/20  loss=0.8155  (no eval)  (13s)
  epoch 12/20  loss=0.8055  test_acc=80.59  best=80.59  (13s)
  epoch 13/20  loss=0.7971  (no eval)  (14s)
  epoch 14/20  loss=0.7906  test_acc=80.53  best=80.59  (13s)
  epoch 15/20  loss=0.7867  (no eval)  (14s)
  epoch 16/20  loss=0.7843  test_acc=80.80  best=80.80  (14s)
  epoch 17/20  loss=0.7818  (no eval)  (14s)
  epoch 18/20  loss=0.7810  test_acc=80.80  best=80.80  (13s)
  epoch 19/20  loss=0.7796  test_acc=80.80  best=80.80  (13s)
  epoch 20/20  loss=0.7802  test_acc=80.74  best=80.80  (13s)
[DONE] bitfit/dtd  best_acc=80.80  trainable%=0.162  mem=6349MB  time=384s
