[RUN] method=bitfit dataset=flowers102 classes=102 trainable=181,350 (0.211%) lr=0.001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=5.1624  test_acc=45.91  best=45.91  (25s)
  epoch 2/30  loss=1.5197  test_acc=99.15  best=99.15  (6s)
  epoch 3/30  loss=0.9004  test_acc=99.35  best=99.35  (6s)
  epoch 4/30  loss=0.8521  test_acc=99.38  best=99.38  (6s)
  epoch 5/30  loss=0.8263  test_acc=99.59  best=99.59  (6s)
  epoch 6/30  loss=0.8152  test_acc=99.59  best=99.59  (6s)
  epoch 7/30  loss=0.8072  test_acc=99.64  best=99.64  (6s)
  epoch 8/30  loss=0.8034  test_acc=99.67  best=99.67  (6s)
  epoch 9/30  loss=0.8005  test_acc=99.59  best=99.67  (6s)
  epoch 10/30  loss=0.7970  test_acc=99.56  best=99.67  (6s)
  epoch 11/30  loss=0.7957  test_acc=99.54  best=99.67  (6s)
  epoch 12/30  loss=0.7940  test_acc=99.53  best=99.67  (6s)
  epoch 13/30  loss=0.7932  test_acc=99.54  best=99.67  (6s)
  epoch 14/30  loss=0.7927  test_acc=99.59  best=99.67  (6s)
  epoch 15/30  loss=0.7913  test_acc=99.59  best=99.67  (6s)
  epoch 16/30  loss=0.7908  test_acc=99.59  best=99.67  (6s)
  epoch 17/30  loss=0.7901  test_acc=99.58  best=99.67  (6s)
  epoch 18/30  loss=0.7894  test_acc=99.59  best=99.67  (6s)
  epoch 19/30  loss=0.7890  test_acc=99.61  best=99.67  (6s)
  epoch 20/30  loss=0.7888  test_acc=99.61  best=99.67  (6s)
  epoch 21/30  loss=0.7882  test_acc=99.59  best=99.67  (6s)
  epoch 22/30  loss=0.7882  test_acc=99.59  best=99.67  (6s)
  epoch 23/30  loss=0.7878  test_acc=99.59  best=99.67  (6s)
  epoch 24/30  loss=0.7876  test_acc=99.59  best=99.67  (6s)
  epoch 25/30  loss=0.7876  test_acc=99.61  best=99.67  (6s)
  epoch 26/30  loss=0.7872  test_acc=99.59  best=99.67  (6s)
  epoch 27/30  loss=0.7873  test_acc=99.59  best=99.67  (6s)
  epoch 28/30  loss=0.7871  test_acc=99.59  best=99.67  (6s)
  epoch 29/30  loss=0.7872  test_acc=99.59  best=99.67  (6s)
  epoch 30/30  loss=0.7871  test_acc=99.59  best=99.67  (6s)
[DONE] bitfit/flowers102  best_acc=99.67  trainable%=0.211  mem=3436MB  time=478s
