[RUN] method=bitfit dataset=pets classes=37 trainable=131,365 (0.153%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.5661  test_acc=70.67  best=70.67  (51s)
  epoch 2/20  loss=1.1098  test_acc=90.92  best=90.92  (12s)
  epoch 3/20  loss=0.8769  (no eval)  (13s)
  epoch 4/20  loss=0.8170  test_acc=93.38  best=93.38  (12s)
  epoch 5/20  loss=0.7915  (no eval)  (13s)
  epoch 6/20  loss=0.7680  test_acc=93.65  best=93.65  (13s)
  epoch 7/20  loss=0.7563  (no eval)  (13s)
  epoch 8/20  loss=0.7487  test_acc=94.14  best=94.14  (13s)
  epoch 9/20  loss=0.7424  (no eval)  (13s)
  epoch 10/20  loss=0.7361  test_acc=93.87  best=94.14  (13s)
  epoch 11/20  loss=0.7307  (no eval)  (13s)
  epoch 12/20  loss=0.7268  test_acc=94.41  best=94.41  (13s)
  epoch 13/20  loss=0.7235  (no eval)  (13s)
  epoch 14/20  loss=0.7223  test_acc=94.39  best=94.41  (13s)
  epoch 15/20  loss=0.7198  (no eval)  (13s)
  epoch 16/20  loss=0.7187  test_acc=94.30  best=94.41  (13s)
  epoch 17/20  loss=0.7157  (no eval)  (13s)
  epoch 18/20  loss=0.7173  test_acc=94.39  best=94.41  (13s)
  epoch 19/20  loss=0.7161  test_acc=94.33  best=94.41  (13s)
  epoch 20/20  loss=0.7153  test_acc=94.30  best=94.41  (13s)
[DONE] bitfit/pets  best_acc=94.41  trainable%=0.153  mem=6348MB  time=408s
