[RUN] method=full_ft dataset=dtd classes=47 trainable=85,834,799 (100.000%) lr=0.0001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.4758  test_acc=65.53  best=65.53  (55s)
  epoch 2/20  loss=1.4444  test_acc=74.15  best=74.15  (16s)
  epoch 3/20  loss=1.0973  (no eval)  (17s)
  epoch 4/20  loss=0.9462  test_acc=76.38  best=76.38  (17s)
  epoch 5/20  loss=0.8668  (no eval)  (17s)
  epoch 6/20  loss=0.8577  test_acc=77.61  best=77.61  (17s)
  epoch 7/20  loss=0.8000  (no eval)  (17s)
  epoch 8/20  loss=0.7853  test_acc=77.23  best=77.61  (17s)
  epoch 9/20  loss=0.7692  (no eval)  (17s)
  epoch 10/20  loss=0.7578  test_acc=77.87  best=77.87  (18s)
  epoch 11/20  loss=0.7530  (no eval)  (17s)
  epoch 12/20  loss=0.7312  test_acc=79.52  best=79.52  (18s)
  epoch 13/20  loss=0.7207  (no eval)  (17s)
  epoch 14/20  loss=0.7128  test_acc=80.53  best=80.53  (17s)
  epoch 15/20  loss=0.7074  (no eval)  (18s)
  epoch 16/20  loss=0.7056  test_acc=81.28  best=81.28  (18s)
  epoch 17/20  loss=0.7040  (no eval)  (18s)
  epoch 18/20  loss=0.7036  test_acc=81.54  best=81.54  (17s)
  epoch 19/20  loss=0.7034  test_acc=81.44  best=81.54  (19s)
  epoch 20/20  loss=0.7034  test_acc=81.49  best=81.54  (48s)
[DONE] full_ft/dtd  best_acc=81.54  trainable%=100.000  mem=9593MB  time=499s
