[RUN] method=full_ft dataset=flowers102 classes=102 trainable=85,877,094 (100.000%) lr=0.0001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=4.6288  test_acc=55.46  best=55.46  (29s)
  epoch 2/30  loss=1.1729  (no eval)  (9s)
  epoch 3/30  loss=0.9148  test_acc=98.39  best=98.39  (9s)
  epoch 4/30  loss=0.9294  (no eval)  (9s)
  epoch 5/30  loss=0.8740  (no eval)  (9s)
  epoch 6/30  loss=0.8539  test_acc=97.22  best=98.39  (10s)
  epoch 7/30  loss=0.8411  (no eval)  (10s)
  epoch 8/30  loss=0.8360  (no eval)  (10s)
  epoch 9/30  loss=0.8168  test_acc=97.80  best=98.39  (10s)
  epoch 10/30  loss=0.8149  (no eval)  (10s)
  epoch 11/30  loss=0.8017  (no eval)  (10s)
  epoch 12/30  loss=0.7969  test_acc=98.70  best=98.70  (10s)
  epoch 13/30  loss=0.7917  (no eval)  (10s)
  epoch 14/30  loss=0.7877  (no eval)  (10s)
  epoch 15/30  loss=0.7860  test_acc=99.20  best=99.20  (10s)
  epoch 16/30  loss=0.7845  (no eval)  (8s)
  epoch 17/30  loss=0.7834  (no eval)  (9s)
  epoch 18/30  loss=0.7830  test_acc=99.35  best=99.35  (9s)
  epoch 19/30  loss=0.7829  (no eval)  (10s)
  epoch 20/30  loss=0.7825  (no eval)  (10s)
  epoch 21/30  loss=0.7822  test_acc=99.37  best=99.37  (10s)
  epoch 22/30  loss=0.7820  (no eval)  (10s)
  epoch 23/30  loss=0.7819  (no eval)  (10s)
  epoch 24/30  loss=0.7818  test_acc=99.41  best=99.41  (10s)
  epoch 25/30  loss=0.7817  (no eval)  (10s)
  epoch 26/30  loss=0.7816  (no eval)  (10s)
  epoch 27/30  loss=0.7816  test_acc=99.43  best=99.43  (10s)
  epoch 28/30  loss=0.7816  test_acc=99.43  best=99.43  (10s)
  epoch 29/30  loss=0.7816  test_acc=99.43  best=99.43  (10s)
  epoch 30/30  loss=0.7820  test_acc=99.43  best=99.43  (10s)
[DONE] full_ft/flowers102  best_acc=99.43  trainable%=100.000  mem=5404MB  time=451s
