[RUN] method=linear_probe dataset=dtd classes=47 trainable=36,143 (0.042%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.3277  test_acc=35.96  best=35.96  (42s)
  epoch 2/20  loss=1.9787  test_acc=70.64  best=70.64  (5s)
  epoch 3/20  loss=1.3365  (no eval)  (5s)
  epoch 4/20  loss=1.1084  test_acc=75.90  best=75.90  (6s)
  epoch 5/20  loss=1.0045  (no eval)  (5s)
  epoch 6/20  loss=0.9497  test_acc=76.49  best=76.49  (5s)
  epoch 7/20  loss=0.9068  (no eval)  (5s)
  epoch 8/20  loss=0.8855  test_acc=76.76  best=76.76  (5s)
  epoch 9/20  loss=0.8654  (no eval)  (6s)
  epoch 10/20  loss=0.8538  test_acc=76.65  best=76.76  (6s)
  epoch 11/20  loss=0.8389  (no eval)  (6s)
  epoch 12/20  loss=0.8327  test_acc=77.93  best=77.93  (6s)
  epoch 13/20  loss=0.8239  (no eval)  (6s)
  epoch 14/20  loss=0.8159  test_acc=77.39  best=77.93  (6s)
  epoch 15/20  loss=0.8114  (no eval)  (6s)
  epoch 16/20  loss=0.8095  test_acc=77.66  best=77.93  (6s)
  epoch 17/20  loss=0.8052  (no eval)  (6s)
  epoch 18/20  loss=0.8049  test_acc=78.30  best=78.30  (6s)
  epoch 19/20  loss=0.8047  test_acc=78.19  best=78.30  (6s)
  epoch 20/20  loss=0.8033  test_acc=78.14  best=78.30  (6s)
[DONE] linear_probe/dtd  best_acc=78.30  trainable%=0.042  mem=1752MB  time=226s
