Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[RUN] method=linear_probe dataset=flowers102 classes=102 trainable=78,438 (0.091%) lr=0.001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=5.3423  test_acc=34.97  best=34.97  (22s)
  epoch 2/30  loss=1.6226  test_acc=98.44  best=98.44  (3s)
  epoch 3/30  loss=0.9586  test_acc=98.54  best=98.54  (3s)
  epoch 4/30  loss=0.9034  test_acc=98.85  best=98.85  (3s)
  epoch 5/30  loss=0.8867  test_acc=98.86  best=98.86  (3s)
  epoch 6/30  loss=0.8750  test_acc=98.99  best=98.99  (3s)
  epoch 7/30  loss=0.8713  test_acc=98.98  best=98.99  (3s)
  epoch 8/30  loss=0.8636  test_acc=99.20  best=99.20  (3s)
  epoch 9/30  loss=0.8633  test_acc=99.15  best=99.20  (3s)
  epoch 10/30  loss=0.8606  test_acc=99.24  best=99.24  (3s)
  epoch 11/30  loss=0.8492  test_acc=99.35  best=99.35  (3s)
  epoch 12/30  loss=0.8409  test_acc=99.33  best=99.35  (3s)
  epoch 13/30  loss=0.8410  test_acc=99.30  best=99.35  (3s)
  epoch 14/30  loss=0.8340  test_acc=99.45  best=99.45  (3s)
  epoch 15/30  loss=0.8251  test_acc=99.37  best=99.45  (3s)
  epoch 16/30  loss=0.8204  test_acc=99.38  best=99.45  (3s)
  epoch 17/30  loss=0.8141  test_acc=99.46  best=99.46  (3s)
  epoch 18/30  loss=0.8099  test_acc=99.46  best=99.46  (3s)
  epoch 19/30  loss=0.8064  test_acc=99.51  best=99.51  (4s)
  epoch 20/30  loss=0.8040  test_acc=99.48  best=99.51  (3s)
  epoch 21/30  loss=0.8016  test_acc=99.51  best=99.51  (3s)
  epoch 22/30  loss=0.8005  test_acc=99.53  best=99.53  (3s)
  epoch 23/30  loss=0.7990  test_acc=99.54  best=99.54  (3s)
  epoch 24/30  loss=0.7982  test_acc=99.54  best=99.54  (3s)
  epoch 25/30  loss=0.7980  test_acc=99.51  best=99.54  (3s)
  epoch 26/30  loss=0.7974  test_acc=99.51  best=99.54  (4s)
  epoch 27/30  loss=0.7973  test_acc=99.54  best=99.54  (3s)
  epoch 28/30  loss=0.7970  test_acc=99.54  best=99.54  (3s)
  epoch 29/30  loss=0.7970  test_acc=99.54  best=99.54  (3s)
  epoch 30/30  loss=0.7967  test_acc=99.54  best=99.54  (3s)
[DONE] linear_probe/flowers102  best_acc=99.54  trainable%=0.091  mem=716MB  time=402s
