[RUN] method=lora dataset=dtd classes=47 trainable=331,055 (0.384%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.2541  test_acc=39.36  best=39.36  (53s)
  epoch 2/20  loss=1.7913  test_acc=74.15  best=74.15  (15s)
  epoch 3/20  loss=1.2193  (no eval)  (16s)
  epoch 4/20  loss=1.0306  test_acc=79.57  best=79.57  (16s)
  epoch 5/20  loss=0.9404  (no eval)  (16s)
  epoch 6/20  loss=0.8734  test_acc=80.21  best=80.21  (16s)
  epoch 7/20  loss=0.8393  (no eval)  (16s)
  epoch 8/20  loss=0.8078  test_acc=81.12  best=81.12  (16s)
  epoch 9/20  loss=0.7869  (no eval)  (16s)
  epoch 10/20  loss=0.7741  test_acc=81.49  best=81.49  (16s)
  epoch 11/20  loss=0.7657  (no eval)  (16s)
  epoch 12/20  loss=0.7586  test_acc=81.12  best=81.49  (17s)
  epoch 13/20  loss=0.7535  (no eval)  (16s)
  epoch 14/20  loss=0.7515  test_acc=81.44  best=81.49  (16s)
  epoch 15/20  loss=0.7486  (no eval)  (16s)
  epoch 16/20  loss=0.7462  test_acc=81.91  best=81.91  (16s)
  epoch 17/20  loss=0.7441  (no eval)  (16s)
  epoch 18/20  loss=0.7446  test_acc=82.07  best=82.07  (16s)
  epoch 19/20  loss=0.7434  test_acc=81.86  best=82.07  (16s)
  epoch 20/20  loss=0.7435  test_acc=81.97  best=82.07  (16s)
[DONE] lora/dtd  best_acc=82.07  trainable%=0.384  mem=7127MB  time=448s
