Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[RUN] method=lora dataset=flowers102 classes=102 trainable=373,350 (0.433%) lr=0.001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=5.2266  test_acc=44.22  best=44.22  (24s)
  epoch 2/30  loss=1.4363  test_acc=99.22  best=99.22  (7s)
  epoch 3/30  loss=0.9014  test_acc=99.46  best=99.46  (7s)
  epoch 4/30  loss=0.8473  test_acc=99.59  best=99.59  (8s)
  epoch 5/30  loss=0.8259  test_acc=99.58  best=99.59  (7s)
  epoch 6/30  loss=0.8127  test_acc=99.51  best=99.59  (7s)
  epoch 7/30  loss=0.8046  test_acc=99.64  best=99.64  (7s)
  epoch 8/30  loss=0.7995  test_acc=99.64  best=99.64  (7s)
  epoch 9/30  loss=0.7974  test_acc=99.63  best=99.64  (7s)
  epoch 10/30  loss=0.7950  test_acc=99.63  best=99.64  (7s)
  epoch 11/30  loss=0.7938  test_acc=99.69  best=99.69  (7s)
  epoch 12/30  loss=0.7917  test_acc=99.69  best=99.69  (8s)
  epoch 13/30  loss=0.7912  test_acc=99.71  best=99.71  (8s)
  epoch 14/30  loss=0.7899  test_acc=99.67  best=99.71  (8s)
  epoch 15/30  loss=0.7901  test_acc=99.67  best=99.71  (8s)
  epoch 16/30  loss=0.7888  test_acc=99.64  best=99.71  (8s)
  epoch 17/30  loss=0.7881  test_acc=99.64  best=99.71  (8s)
  epoch 18/30  loss=0.7879  test_acc=99.67  best=99.71  (8s)
  epoch 19/30  loss=0.7870  test_acc=99.66  best=99.71  (8s)
  epoch 20/30  loss=0.7868  test_acc=99.67  best=99.71  (9s)
  epoch 21/30  loss=0.7865  test_acc=99.67  best=99.71  (7s)
  epoch 22/30  loss=0.7862  test_acc=99.66  best=99.71  (8s)
  epoch 23/30  loss=0.7860  test_acc=99.69  best=99.71  (7s)
  epoch 24/30  loss=0.7858  test_acc=99.69  best=99.71  (7s)
  epoch 25/30  loss=0.7858  test_acc=99.67  best=99.71  (8s)
  epoch 26/30  loss=0.7857  test_acc=99.69  best=99.71  (7s)
  epoch 27/30  loss=0.7856  test_acc=99.69  best=99.71  (7s)
  epoch 28/30  loss=0.7855  test_acc=99.69  best=99.71  (8s)
  epoch 29/30  loss=0.7854  test_acc=99.69  best=99.71  (7s)
  epoch 30/30  loss=0.7854  test_acc=99.69  best=99.71  (7s)
[DONE] lora/flowers102  best_acc=99.71  trainable%=0.433  mem=3826MB  time=548s
