[RUN] method=lora dataset=pets classes=37 trainable=323,365 (0.375%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.5915  test_acc=71.90  best=71.90  (54s)
  epoch 2/20  loss=1.0852  test_acc=92.94  best=92.94  (15s)
  epoch 3/20  loss=0.8638  (no eval)  (15s)
  epoch 4/20  loss=0.8029  test_acc=94.06  best=94.06  (15s)
  epoch 5/20  loss=0.7694  (no eval)  (15s)
  epoch 6/20  loss=0.7436  test_acc=94.82  best=94.82  (15s)
  epoch 7/20  loss=0.7360  (no eval)  (15s)
  epoch 8/20  loss=0.7237  test_acc=94.52  best=94.82  (15s)
  epoch 9/20  loss=0.7174  (no eval)  (15s)
  epoch 10/20  loss=0.7143  test_acc=94.58  best=94.82  (16s)
  epoch 11/20  loss=0.7115  (no eval)  (16s)
  epoch 12/20  loss=0.7084  test_acc=94.77  best=94.82  (15s)
  epoch 13/20  loss=0.7051  (no eval)  (16s)
  epoch 14/20  loss=0.7011  test_acc=94.33  best=94.82  (16s)
  epoch 15/20  loss=0.7005  (no eval)  (16s)
  epoch 16/20  loss=0.6977  test_acc=94.90  best=94.90  (16s)
  epoch 17/20  loss=0.6967  (no eval)  (16s)
  epoch 18/20  loss=0.6959  test_acc=94.85  best=94.90  (16s)
  epoch 19/20  loss=0.6967  test_acc=94.90  best=94.90  (16s)
  epoch 20/20  loss=0.6964  test_acc=94.90  best=94.90  (16s)
[DONE] lora/pets  best_acc=94.90  trainable%=0.375  mem=7127MB  time=478s
