[RUN] method=lora_ssf dataset=dtd classes=47 trainable=404,783 (0.470%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.1373  test_acc=42.87  best=42.87  (57s)
  epoch 2/20  loss=1.7814  test_acc=75.11  best=75.11  (19s)
  epoch 3/20  loss=1.2449  (no eval)  (29s)
  epoch 4/20  loss=1.0600  test_acc=80.32  best=80.32  (29s)
  epoch 5/20  loss=0.9549  (no eval)  (30s)
  epoch 6/20  loss=0.8849  test_acc=80.32  best=80.32  (29s)
  epoch 7/20  loss=0.8486  (no eval)  (29s)
  epoch 8/20  loss=0.8228  test_acc=81.38  best=81.38  (30s)
  epoch 9/20  loss=0.7995  (no eval)  (29s)
  epoch 10/20  loss=0.7793  test_acc=81.28  best=81.38  (30s)
  epoch 11/20  loss=0.7707  (no eval)  (29s)
  epoch 12/20  loss=0.7592  test_acc=81.17  best=81.38  (29s)
  epoch 13/20  loss=0.7533  (no eval)  (29s)
  epoch 14/20  loss=0.7499  test_acc=81.76  best=81.76  (29s)
  epoch 15/20  loss=0.7482  (no eval)  (29s)
  epoch 16/20  loss=0.7458  test_acc=81.44  best=81.76  (29s)
  epoch 17/20  loss=0.7435  (no eval)  (29s)
  epoch 18/20  loss=0.7421  test_acc=81.70  best=81.76  (29s)
  epoch 19/20  loss=0.7417  test_acc=81.70  best=81.76  (29s)
  epoch 20/20  loss=0.7419  test_acc=81.76  best=81.76  (29s)
[DONE] lora_ssf/dtd  best_acc=81.76  trainable%=0.470  mem=9798MB  time=705s
