[RUN] method=lora_ssf dataset=flowers102 classes=102 trainable=447,078 (0.518%) lr=0.001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=5.0494  test_acc=39.75  best=39.75  (25s)
  epoch 2/30  loss=1.5404  (no eval)  (8s)
  epoch 3/30  loss=0.8896  test_acc=99.48  best=99.48  (8s)
  epoch 4/30  loss=0.8408  (no eval)  (8s)
  epoch 5/30  loss=0.8168  (no eval)  (8s)
  epoch 6/30  loss=0.8080  test_acc=99.58  best=99.58  (8s)
  epoch 7/30  loss=0.8028  (no eval)  (8s)
  epoch 8/30  loss=0.7974  (no eval)  (8s)
  epoch 9/30  loss=0.7945  test_acc=99.69  best=99.69  (8s)
  epoch 10/30  loss=0.7933  (no eval)  (8s)
  epoch 11/30  loss=0.7921  (no eval)  (8s)
  epoch 12/30  loss=0.7908  test_acc=99.63  best=99.69  (8s)
  epoch 13/30  loss=0.7897  (no eval)  (8s)
  epoch 14/30  loss=0.7891  (no eval)  (9s)
  epoch 15/30  loss=0.7884  test_acc=99.64  best=99.69  (8s)
  epoch 16/30  loss=0.7879  (no eval)  (9s)
  epoch 17/30  loss=0.7877  (no eval)  (8s)
  epoch 18/30  loss=0.7875  test_acc=99.66  best=99.69  (8s)
  epoch 19/30  loss=0.7866  (no eval)  (8s)
  epoch 20/30  loss=0.7861  (no eval)  (9s)
  epoch 21/30  loss=0.7860  test_acc=99.61  best=99.69  (9s)
  epoch 22/30  loss=0.7857  (no eval)  (11s)
  epoch 23/30  loss=0.7862  (no eval)  (11s)
  epoch 24/30  loss=0.7853  test_acc=99.61  best=99.69  (10s)
  epoch 25/30  loss=0.7851  (no eval)  (11s)
  epoch 26/30  loss=0.7850  (no eval)  (10s)
  epoch 27/30  loss=0.7850  test_acc=99.63  best=99.69  (11s)
  epoch 28/30  loss=0.7850  test_acc=99.63  best=99.69  (10s)
  epoch 29/30  loss=0.7848  test_acc=99.63  best=99.69  (10s)
  epoch 30/30  loss=0.7852  test_acc=99.63  best=99.69  (10s)
[DONE] lora_ssf/flowers102  best_acc=99.69  trainable%=0.518  mem=5170MB  time=466s
