[RUN] method=lora_ssf dataset=pets classes=37 trainable=397,093 (0.461%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.5426  test_acc=75.28  best=75.28  (55s)
  epoch 2/20  loss=1.0729  test_acc=93.00  best=93.00  (18s)
  epoch 3/20  loss=0.8601  (no eval)  (29s)
  epoch 4/20  loss=0.8143  test_acc=93.46  best=93.46  (29s)
  epoch 5/20  loss=0.7762  (no eval)  (29s)
  epoch 6/20  loss=0.7564  test_acc=93.73  best=93.73  (29s)
  epoch 7/20  loss=0.7424  (no eval)  (29s)
  epoch 8/20  loss=0.7305  test_acc=94.49  best=94.49  (29s)
  epoch 9/20  loss=0.7211  (no eval)  (29s)
  epoch 10/20  loss=0.7144  test_acc=94.60  best=94.60  (29s)
  epoch 11/20  loss=0.7090  (no eval)  (29s)
  epoch 12/20  loss=0.7055  test_acc=94.66  best=94.66  (29s)
  epoch 13/20  loss=0.7015  (no eval)  (29s)
  epoch 14/20  loss=0.7006  test_acc=94.85  best=94.85  (29s)
  epoch 15/20  loss=0.6996  (no eval)  (29s)
  epoch 16/20  loss=0.6973  test_acc=94.93  best=94.93  (29s)
  epoch 17/20  loss=0.6954  (no eval)  (29s)
  epoch 18/20  loss=0.6954  test_acc=94.85  best=94.93  (29s)
  epoch 19/20  loss=0.6944  test_acc=94.85  best=94.93  (29s)
  epoch 20/20  loss=0.6958  test_acc=94.82  best=94.93  (29s)
[DONE] lora_ssf/pets  best_acc=94.93  trainable%=0.461  mem=9800MB  time=753s
