[RUN] method=ssf dataset=dtd classes=47 trainable=109,871 (0.128%) lr=0.002 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.7052  test_acc=60.53  best=60.53  (54s)
  epoch 2/20  loss=1.5088  test_acc=77.29  best=77.29  (15s)
  epoch 3/20  loss=1.1857  (no eval)  (15s)
  epoch 4/20  loss=1.0456  test_acc=78.56  best=78.56  (16s)
  epoch 5/20  loss=0.9571  (no eval)  (16s)
  epoch 6/20  loss=0.9135  test_acc=79.52  best=79.52  (16s)
  epoch 7/20  loss=0.8672  (no eval)  (16s)
  epoch 8/20  loss=0.8398  test_acc=79.68  best=79.68  (16s)
  epoch 9/20  loss=0.8182  (no eval)  (16s)
  epoch 10/20  loss=0.7982  test_acc=80.69  best=80.69  (16s)
  epoch 11/20  loss=0.7880  (no eval)  (16s)
  epoch 12/20  loss=0.7780  test_acc=80.16  best=80.69  (16s)
  epoch 13/20  loss=0.7719  (no eval)  (16s)
  epoch 14/20  loss=0.7675  test_acc=80.32  best=80.69  (16s)
  epoch 15/20  loss=0.7645  (no eval)  (16s)
  epoch 16/20  loss=0.7614  test_acc=80.53  best=80.69  (16s)
  epoch 17/20  loss=0.7606  (no eval)  (16s)
  epoch 18/20  loss=0.7595  test_acc=80.90  best=80.90  (16s)
  epoch 19/20  loss=0.7585  test_acc=80.69  best=80.90  (16s)
  epoch 20/20  loss=0.7577  test_acc=80.69  best=80.90  (16s)
[DONE] ssf/dtd  best_acc=80.90  trainable%=0.128  mem=8899MB  time=450s
