Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[RUN] method=ssf dataset=flowers102 classes=102 trainable=152,166 (0.177%) lr=0.002 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=4.4429  test_acc=89.28  best=89.28  (24s)
  epoch 2/30  loss=1.0188  test_acc=99.25  best=99.25  (7s)
  epoch 3/30  loss=0.8809  test_acc=99.37  best=99.37  (7s)
  epoch 4/30  loss=0.8553  test_acc=99.50  best=99.50  (7s)
  epoch 5/30  loss=0.8289  test_acc=99.46  best=99.50  (7s)
  epoch 6/30  loss=0.8146  test_acc=99.50  best=99.50  (7s)
  epoch 7/30  loss=0.8062  test_acc=99.50  best=99.50  (7s)
  epoch 8/30  loss=0.7990  test_acc=99.56  best=99.56  (7s)
  epoch 9/30  loss=0.7954  test_acc=99.50  best=99.56  (7s)
  epoch 10/30  loss=0.7931  test_acc=99.59  best=99.59  (7s)
  epoch 11/30  loss=0.7918  test_acc=99.58  best=99.59  (9s)
  epoch 12/30  loss=0.7910  test_acc=99.53  best=99.59  (9s)
  epoch 13/30  loss=0.7901  test_acc=99.56  best=99.59  (9s)
  epoch 14/30  loss=0.7894  test_acc=99.59  best=99.59  (9s)
  epoch 15/30  loss=0.7886  test_acc=99.59  best=99.59  (9s)
  epoch 16/30  loss=0.7885  test_acc=99.54  best=99.59  (9s)
  epoch 17/30  loss=0.7878  test_acc=99.58  best=99.59  (9s)
  epoch 18/30  loss=0.7870  test_acc=99.59  best=99.59  (9s)
  epoch 19/30  loss=0.7864  test_acc=99.59  best=99.59  (9s)
  epoch 20/30  loss=0.7862  test_acc=99.58  best=99.59  (9s)
  epoch 21/30  loss=0.7863  test_acc=99.59  best=99.59  (9s)
  epoch 22/30  loss=0.7859  test_acc=99.58  best=99.59  (9s)
  epoch 23/30  loss=0.7855  test_acc=99.59  best=99.59  (9s)
  epoch 24/30  loss=0.7857  test_acc=99.56  best=99.59  (9s)
  epoch 25/30  loss=0.7857  test_acc=99.59  best=99.59  (9s)
  epoch 26/30  loss=0.7852  test_acc=99.59  best=99.59  (9s)
  epoch 27/30  loss=0.7850  test_acc=99.59  best=99.59  (9s)
  epoch 28/30  loss=0.7852  test_acc=99.59  best=99.59  (9s)
  epoch 29/30  loss=0.7851  test_acc=99.59  best=99.59  (9s)
  epoch 30/30  loss=0.7851  test_acc=99.59  best=99.59  (9s)
[DONE] ssf/flowers102  best_acc=99.59  trainable%=0.177  mem=4712MB  time=596s
