[RUN] method=ssf dataset=pets classes=37 trainable=102,181 (0.119%) lr=0.002 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=2.9945  test_acc=85.45  best=85.45  (53s)
  epoch 2/20  loss=1.0342  test_acc=91.28  best=91.28  (15s)
  epoch 3/20  loss=0.8747  (no eval)  (15s)
  epoch 4/20  loss=0.8198  test_acc=93.87  best=93.87  (15s)
  epoch 5/20  loss=0.7784  (no eval)  (15s)
  epoch 6/20  loss=0.7577  test_acc=94.19  best=94.19  (16s)
  epoch 7/20  loss=0.7441  (no eval)  (15s)
  epoch 8/20  loss=0.7341  test_acc=94.19  best=94.19  (16s)
  epoch 9/20  loss=0.7275  (no eval)  (15s)
  epoch 10/20  loss=0.7211  test_acc=94.19  best=94.19  (16s)
  epoch 11/20  loss=0.7198  (no eval)  (16s)
  epoch 12/20  loss=0.7155  test_acc=94.03  best=94.19  (16s)
  epoch 13/20  loss=0.7126  (no eval)  (16s)
  epoch 14/20  loss=0.7107  test_acc=94.36  best=94.36  (15s)
  epoch 15/20  loss=0.7077  (no eval)  (16s)
  epoch 16/20  loss=0.7058  test_acc=94.19  best=94.36  (16s)
  epoch 17/20  loss=0.7055  (no eval)  (15s)
  epoch 18/20  loss=0.7034  test_acc=94.33  best=94.36  (15s)
  epoch 19/20  loss=0.7043  test_acc=94.33  best=94.36  (15s)
  epoch 20/20  loss=0.7032  test_acc=94.41  best=94.41  (15s)
[DONE] ssf/pets  best_acc=94.41  trainable%=0.119  mem=8900MB  time=477s
