[RUN] method=vpt dataset=dtd classes=47 trainable=51,503 (0.060%) lr=0.005 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.2273  test_acc=67.66  best=67.66  (51s)
  epoch 2/20  loss=1.6660  test_acc=70.90  best=70.90  (13s)
  epoch 3/20  loss=1.4591  (no eval)  (13s)
  epoch 4/20  loss=1.3165  test_acc=69.31  best=70.90  (13s)
  epoch 5/20  loss=1.2304  (no eval)  (14s)
  epoch 6/20  loss=1.0860  test_acc=74.73  best=74.73  (14s)
  epoch 7/20  loss=1.0141  (no eval)  (14s)
  epoch 8/20  loss=0.9700  test_acc=76.54  best=76.54  (14s)
  epoch 9/20  loss=0.9136  (no eval)  (14s)
  epoch 10/20  loss=0.8754  test_acc=77.61  best=77.61  (14s)
  epoch 11/20  loss=0.8494  (no eval)  (14s)
  epoch 12/20  loss=0.8218  test_acc=79.10  best=79.10  (14s)
  epoch 13/20  loss=0.8098  (no eval)  (14s)
  epoch 14/20  loss=0.8011  test_acc=78.78  best=79.10  (14s)
  epoch 15/20  loss=0.7952  (no eval)  (14s)
  epoch 16/20  loss=0.7896  test_acc=79.10  best=79.10  (14s)
  epoch 17/20  loss=0.7867  (no eval)  (14s)
  epoch 18/20  loss=0.7845  test_acc=79.73  best=79.73  (14s)
  epoch 19/20  loss=0.7831  test_acc=79.47  best=79.73  (14s)
  epoch 20/20  loss=0.7839  test_acc=79.47  best=79.73  (14s)
[DONE] vpt/dtd  best_acc=79.73  trainable%=0.060  mem=6874MB  time=397s
