[RUN] method=vpt dataset=flowers102 classes=102 trainable=93,798 (0.109%) lr=0.005 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=3.4928  test_acc=97.67  best=97.67  (27s)
  epoch 2/30  loss=1.0762  test_acc=98.52  best=98.52  (7s)
  epoch 3/30  loss=1.0902  test_acc=98.31  best=98.52  (7s)
  epoch 4/30  loss=1.0024  test_acc=98.99  best=98.99  (7s)
  epoch 5/30  loss=0.9582  test_acc=99.20  best=99.20  (7s)
  epoch 6/30  loss=0.9558  test_acc=98.52  best=99.20  (7s)
  epoch 7/30  loss=0.9256  test_acc=98.63  best=99.20  (7s)
  epoch 8/30  loss=0.9056  test_acc=99.28  best=99.28  (7s)
  epoch 9/30  loss=0.8580  test_acc=99.51  best=99.51  (8s)
  epoch 10/30  loss=0.8344  test_acc=99.48  best=99.51  (7s)
  epoch 11/30  loss=0.8214  test_acc=99.53  best=99.53  (7s)
  epoch 12/30  loss=0.8146  test_acc=99.53  best=99.53  (7s)
  epoch 13/30  loss=0.8088  test_acc=99.54  best=99.54  (7s)
  epoch 14/30  loss=0.8050  test_acc=99.56  best=99.56  (8s)
  epoch 15/30  loss=0.8022  test_acc=99.59  best=99.59  (8s)
  epoch 16/30  loss=0.7984  test_acc=99.56  best=99.59  (8s)
  epoch 17/30  loss=0.7972  test_acc=99.58  best=99.59  (7s)
  epoch 18/30  loss=0.7956  test_acc=99.64  best=99.64  (7s)
  epoch 19/30  loss=0.7939  test_acc=99.58  best=99.64  (7s)
  epoch 20/30  loss=0.7924  test_acc=99.59  best=99.64  (7s)
  epoch 21/30  loss=0.7917  test_acc=99.59  best=99.64  (7s)
  epoch 22/30  loss=0.7905  test_acc=99.61  best=99.64  (7s)
  epoch 23/30  loss=0.7907  test_acc=99.59  best=99.64  (7s)
  epoch 24/30  loss=0.7895  test_acc=99.59  best=99.64  (8s)
  epoch 25/30  loss=0.7893  test_acc=99.58  best=99.64  (7s)
  epoch 26/30  loss=0.7887  test_acc=99.61  best=99.64  (7s)
  epoch 27/30  loss=0.7888  test_acc=99.61  best=99.64  (7s)
  epoch 28/30  loss=0.7884  test_acc=99.59  best=99.64  (6s)
  epoch 29/30  loss=0.7883  test_acc=99.59  best=99.64  (6s)
  epoch 30/30  loss=0.7884  test_acc=99.61  best=99.64  (6s)
[DONE] vpt/flowers102  best_acc=99.64  trainable%=0.109  mem=3717MB  time=534s
