run_id,tag,method,dataset,backbone,train_fraction,num_classes,epochs,batch_size,lr,seed,trainable_params,total_params,pct_trainable,best_acc,final_acc,peak_mem_mb,train_time_s,time_per_epoch_s,throughput_img_s,model,lora_r,adapter_dim,vpt_prompts
main__vit_b__linear_probe__flowers102__s42__f100__r8__a64__p20,main,linear_probe,flowers102,vit_b,1.0,102,30,64,0.001,42,78438,85877094,0.0913,99.545,99.545,715.8,402.4,13.4,147.9,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__bitfit__flowers102__s42__f100__r8__a64__p20,main,bitfit,flowers102,vit_b,1.0,102,30,64,0.001,42,181350,85877094,0.2112,99.675,99.593,3436.4,477.6,15.9,124.6,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__ssf__flowers102__s42__f100__r8__a64__p20,main,ssf,flowers102,vit_b,1.0,102,30,64,0.002,42,152166,85950822,0.177,99.593,99.593,4711.9,596.1,19.9,99.9,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__vpt__flowers102__s42__f100__r8__a64__p20,main,vpt,flowers102,vit_b,1.0,102,30,64,0.005,42,93798,85892454,0.1092,99.642,99.61,3716.9,534.4,17.8,111.4,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__lora__flowers102__s42__f100__r8__a64__p20,main,lora,flowers102,vit_b,1.0,102,30,64,0.001,42,373350,86172006,0.4333,99.707,99.691,3825.9,548.4,18.3,108.5,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__adaptformer__flowers102__s42__f100__r8__a64__p20,main,adaptformer,flowers102,vit_b,1.0,102,30,64,0.001,42,1268082,87066738,1.4564,99.707,99.707,3681.6,517.6,17.3,115.0,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__lora_ssf__flowers102__s42__f100__r8__a64__p20,main,lora_ssf,flowers102,vit_b,1.0,102,30,64,0.001,42,447078,86245734,0.5184,99.691,99.626,5169.9,465.5,15.5,127.9,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__full_ft__flowers102__s42__f100__r8__a64__p20,main,full_ft,flowers102,vit_b,1.0,102,30,64,0.0001,42,85877094,85877094,100.0,99.431,99.431,5404.0,451.5,15.0,131.8,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__linear_probe__dtd__s42__f100__r8__a64__p20,main,linear_probe,dtd,vit_b,1.0,47,20,128,0.001,42,36143,85834799,0.0421,78.298,78.138,1751.8,225.8,11.3,328.8,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__bitfit__dtd__s42__f100__r8__a64__p20,main,bitfit,dtd,vit_b,1.0,47,20,128,0.001,42,139055,85834799,0.162,80.798,80.745,6348.6,383.9,19.2,193.4,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__ssf__dtd__s42__f100__r8__a64__p20,main,ssf,dtd,vit_b,1.0,47,20,128,0.002,42,109871,85908527,0.1279,80.904,80.691,8899.5,449.9,22.5,165.0,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__vpt__dtd__s42__f100__r8__a64__p20,main,vpt,dtd,vit_b,1.0,47,20,128,0.005,42,51503,85850159,0.06,79.734,79.468,6874.0,396.7,19.8,187.1,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__lora__dtd__s42__f100__r8__a64__p20,main,lora,dtd,vit_b,1.0,47,20,128,0.001,42,331055,86129711,0.3844,82.074,81.968,7126.8,447.6,22.4,165.8,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__adaptformer__dtd__s42__f100__r8__a64__p20,main,adaptformer,dtd,vit_b,1.0,47,20,128,0.001,42,1225787,87024443,1.4086,83.511,83.457,6829.2,397.8,19.9,186.6,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__lora_ssf__dtd__s42__f100__r8__a64__p20,main,lora_ssf,dtd,vit_b,1.0,47,20,128,0.001,42,404783,86203439,0.4696,81.755,81.755,9798.5,705.5,35.3,105.2,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__full_ft__dtd__s42__f100__r8__a64__p20,main,full_ft,dtd,vit_b,1.0,47,20,128,0.0001,42,85834799,85834799,100.0,81.543,81.489,9592.5,499.1,25.0,148.8,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__linear_probe__pets__s42__f100__r8__a64__p20,main,linear_probe,pets,vit_b,1.0,37,20,128,0.001,42,28453,85827109,0.0332,92.341,92.123,1751.6,258.6,12.9,277.2,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__bitfit__pets__s42__f100__r8__a64__p20,main,bitfit,pets,vit_b,1.0,37,20,128,0.001,42,131365,85827109,0.1531,94.413,94.304,6348.2,407.6,20.4,175.8,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__ssf__pets__s42__f100__r8__a64__p20,main,ssf,pets,vit_b,1.0,37,20,128,0.002,42,102181,85900837,0.119,94.413,94.413,8900.3,477.0,23.8,150.3,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__vpt__pets__s42__f100__r8__a64__p20,main,vpt,pets,vit_b,1.0,37,20,128,0.005,42,43813,85842469,0.051,93.35,93.268,6873.9,420.1,21.0,170.6,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__lora__pets__s42__f100__r8__a64__p20,main,lora,pets,vit_b,1.0,37,20,128,0.001,42,323365,86122021,0.3755,94.903,94.903,7126.7,477.6,23.9,150.1,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__adaptformer__pets__s42__f100__r8__a64__p20,main,adaptformer,pets,vit_b,1.0,37,20,128,0.001,42,1218097,87016753,1.3998,95.176,95.04,6830.3,426.5,21.3,168.1,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__lora_ssf__pets__s42__f100__r8__a64__p20,main,lora_ssf,pets,vit_b,1.0,37,20,128,0.001,42,397093,86195749,0.4607,94.93,94.821,9800.2,752.8,37.6,95.2,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__full_ft__pets__s42__f100__r8__a64__p20,main,full_ft,pets,vit_b,1.0,37,20,128,0.0001,42,85827109,85827109,100.0,93.759,93.731,9594.5,966.1,48.3,74.2,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__linear_probe__cifar100__s42__f100__r8__a64__p20,main,linear_probe,cifar100,vit_b,1.0,100,6,128,0.001,42,76900,85875556,0.0895,88.67,88.67,1752.4,530.9,88.5,564.2,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__bitfit__cifar100__s42__f100__r8__a64__p20,main,bitfit,cifar100,vit_b,1.0,100,6,128,0.001,42,179812,85875556,0.2094,93.54,93.54,6349.2,1183.7,197.3,253.0,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__ssf__cifar100__s42__f100__r8__a64__p20,main,ssf,cifar100,vit_b,1.0,100,6,128,0.002,42,150628,85949284,0.1753,93.77,93.77,8899.5,1427.9,238.0,209.8,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__vpt__cifar100__s42__f100__r8__a64__p20,main,vpt,cifar100,vit_b,1.0,100,6,128,0.005,42,92260,85890916,0.1074,91.98,91.93,6874.8,1216.5,202.7,246.2,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__lora__cifar100__s42__f100__r8__a64__p20,main,lora,cifar100,vit_b,1.0,100,6,128,0.001,42,371812,86170468,0.4315,93.71,93.71,7127.4,1417.8,236.3,211.3,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__adaptformer__cifar100__s42__f100__r8__a64__p20,main,adaptformer,cifar100,vit_b,1.0,100,6,128,0.001,42,1266544,87065200,1.4547,93.59,93.59,6830.3,1233.3,205.5,242.9,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__lora_ssf__cifar100__s42__f100__r8__a64__p20,main,lora_ssf,cifar100,vit_b,1.0,100,6,128,0.001,42,445540,86244196,0.5166,93.9,93.9,9798.5,3748.1,624.7,79.9,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__full_ft__cifar100__s42__f100__r8__a64__p20,main,full_ft,cifar100,vit_b,1.0,100,6,128,0.0001,42,85875556,85875556,100.0,92.41,92.41,9594.8,2159.4,359.9,138.7,vit_base_patch16_224.augreg_in21k,8,64,20
abl_loraR__vit_b__lora__dtd__s42__f100__r1__a64__p20,abl_loraR,lora,dtd,vit_b,1.0,47,20,128,0.001,42,73007,85871663,0.085,80.479,80.372,7115.3,493.3,24.7,150.5,vit_base_patch16_224.augreg_in21k,1,64,20
abl_loraR__vit_b__lora__dtd__s42__f100__r2__a64__p20,abl_loraR,lora,dtd,vit_b,1.0,47,20,128,0.001,42,109871,85908527,0.1279,80.532,80.319,7116.9,492.7,24.6,150.7,vit_base_patch16_224.augreg_in21k,2,64,20
abl_loraR__vit_b__lora__dtd__s42__f100__r4__a64__p20,abl_loraR,lora,dtd,vit_b,1.0,47,20,128,0.001,42,183599,85982255,0.2135,81.596,81.383,7120.2,420.5,21.0,176.6,vit_base_patch16_224.augreg_in21k,4,64,20
abl_loraR__vit_b__lora__dtd__s42__f100__r8__a64__p20,abl_loraR,lora,dtd,vit_b,1.0,47,20,128,0.001,42,331055,86129711,0.3844,81.489,81.383,7126.8,406.7,20.3,182.6,vit_base_patch16_224.augreg_in21k,8,64,20
abl_loraR__vit_b__lora__dtd__s42__f100__r16__a64__p20,abl_loraR,lora,dtd,vit_b,1.0,47,20,128,0.001,42,625967,86424623,0.7243,82.66,82.553,7139.9,406.3,20.3,182.7,vit_base_patch16_224.augreg_in21k,16,64,20
abl_loraR__vit_b__lora__dtd__s42__f100__r32__a64__p20,abl_loraR,lora,dtd,vit_b,1.0,47,20,128,0.001,42,1215791,87014447,1.3972,82.872,82.66,7167.0,406.5,20.3,182.6,vit_base_patch16_224.augreg_in21k,32,64,20
main__vit_b__linear_probe__cifar10__s42__f100__r8__a64__p20,main,linear_probe,cifar10,vit_b,1.0,10,3,128,0.001,42,7690,85806346,0.009,97.64,97.64,1751.3,311.2,103.7,481.3,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__bitfit__cifar10__s42__f100__r8__a64__p20,main,bitfit,cifar10,vit_b,1.0,10,3,128,0.001,42,110602,85806346,0.1289,98.98,98.98,6348.1,655.4,218.5,228.5,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__ssf__cifar10__s42__f100__r8__a64__p20,main,ssf,cifar10,vit_b,1.0,10,3,128,0.002,42,81418,85880074,0.0948,99.07,99.07,8898.7,810.1,270.0,184.9,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__vpt__cifar10__s42__f100__r8__a64__p20,main,vpt,cifar10,vit_b,1.0,10,3,128,0.005,42,23050,85821706,0.0269,98.63,98.63,6873.7,715.7,238.6,209.3,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__lora__cifar10__s42__f100__r8__a64__p20,main,lora,cifar10,vit_b,1.0,10,3,128,0.001,42,302602,86101258,0.3514,99.14,99.14,7126.4,809.5,269.8,185.0,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__adaptformer__cifar10__s42__f100__r8__a64__p20,main,adaptformer,cifar10,vit_b,1.0,10,3,128,0.001,42,1197334,86995990,1.3763,99.15,99.15,6829.5,720.7,240.2,207.8,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__lora_ssf__cifar10__s42__f100__r8__a64__p20,main,lora_ssf,cifar10,vit_b,1.0,10,3,128,0.001,42,376330,86174986,0.4367,99.15,99.15,9797.7,2129.4,709.8,70.3,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__full_ft__cifar10__s42__f100__r8__a64__p20,main,full_ft,cifar10,vit_b,1.0,10,3,128,0.0001,42,85806346,85806346,100.0,98.65,98.65,9592.1,1209.9,403.3,123.8,vit_base_patch16_224.augreg_in21k,8,64,20
main__vit_b__linear_probe__svhn__s42__f100__r8__a64__p20,main,linear_probe,svhn,vit_b,1.0,10,2,128,0.001,42,7690,85806346,0.009,65.078,65.078,1751.3,352.6,176.3,415.3,vit_base_patch16_224.augreg_in21k,8,64,20
